
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-05-10;21.069,66;940707175576;22.528,70;966560890615;20.036,29;1247425242033;36.628,23;104580508373;21.103,58;918836139335
2009-05-11;21.045,56;930636894332;22.503,00;955107494156;20.017,10;1231274352099;36.610,15;103951346577;21.075,03;910278824449
2009-05-12;20.911,82;917050459364;22.381,75;939649217217;19.927,49;1212997191715;36.460,20;103384810980;20.954,62;897847052427
2009-05-13;20.890,62;908960536584;22.343,17;928605446187;19.891,53;1201007223520;36.436,61;102276146651;20.934,88;889385189783
2009-05-14;20.911,81;898681887337;22.365,21;917243531431;19.912,57;1188598667830;36.459,20;102357876719;20.956,49;883314295160
2009-05-15;20.854,65;887640288205;22.307,92;900439791389;19.857,81;1168528455677;36.387,90;100521228760;20.874,34;867818756670
2009-05-16;20.854,65;887640288205;22.307,92;900439791389;19.857,81;1168528455677;36.387,90;100521228760;20.874,34;867818756670
2009-05-17;20.854,65;887640288205;22.307,92;900439791389;19.857,81;1168528455677;36.387,90;100521228760;20.874,34;867818756670
2009-05-18;20.829,96;873978617056;22.259,27;881664937805;19.840,47;1148378444727;36.355,22;100635426622;20.850,53;854371597878
2009-05-19;20.818,82;865953903941;22.253,34;871569684128;19.828,44;1133201567276;36.350,49;100343285771;20.836,09;846631538457
2009-05-20;20.811,66;857980063100;22.233,30;863728785306;19.815,11;1124501632829;36.326,01;100251336583;20.820,83;840717181266
2009-05-21;20.811,66;857980063100;22.233,30;863728785306;19.815,11;1124501632829;36.326,01;100251336583;20.820,83;840717181266
2009-05-22;20.781,70;851113851760;22.197,01;851848100579;19.792,06;1115938602627;36.260,36;99343320469;20.790,53;836695681169
2009-05-23;20.781,70;851113851760;22.197,01;851848100579;19.792,06;1115938602627;36.260,36;99343320469;20.790,53;836695681169
2009-05-24;20.781,70;851113851760;22.197,01;851848100579;19.792,06;1115938602627;36.260,36;99343320469;20.790,53;836695681169
2009-05-25;20.790,98;843158554545;22.206,50;844991218651;19.797,47;1106024221249;36.293,78;99471741584;20.793,11;828602178114
2009-05-26;20.788,07;836860239730;22.198,82;836253804119;19.800,27;1094039750420;36.293,35;98523413117;20.804,98;823783632106
2009-05-27;20.787,91;831602016085;22.166,54;829278713477;19.796,73;1084815668053;36.309,47;98579374072;20.799,78;819008893556
2009-05-28;20.727,95;824203714138;22.087,67;823901990529;19.757,50;1075560510030;36.242,29;97463461808;20.754,24;813042829362
2009-05-29;20.602,57;813644133028;21.980,88;811723883386;19.667,22;1062138913869;36.144,60;97258113078;20.650,57;805327325340
2009-05-30;20.602,57;813644133028;21.980,88;811723883386;19.667,22;1062138913869;36.144,60;97258113078;20.650,57;805327325340
2009-05-31;20.602,57;813644133028;21.980,88;811723883386;19.667,22;1062138913869;36.144,60;97258113078;20.650,57;805327325340
2009-06-01;20.632,84;812189335871;21.995,29;801681257059;19.681,51;1046799986837;36.155,98;96292605028;20.674,49;795791270942
2009-06-02;20.668,78;797577559164;22.003,66;791988067328;19.700,72;1038019582664;36.181,75;95762026282;20.693,45;792165275231
2009-06-03;20.715,24;794264777791;22.042,37;786890803809;19.728,06;1033409142411;36.224,34;95875513532;20.727,01;789235877066
2009-06-04;20.777,96;790329381455;22.121,33;780806408494;19.780,88;1028837929447;36.290,87;95085805184;20.778,18;787461918049
2009-06-05;20.769,45;784263700239;22.105,19;771397054065;19.778,24;1017180681768;36.274,95;94909817380;20.771,50;778320171935
2009-06-06;20.769,45;784263700239;22.105,19;771397054065;19.778,24;1017180681768;36.274,95;94909817380;20.771,50;778320171935
2009-06-07;20.769,45;784263700239;22.105,19;771397054065;19.778,24;1017180681768;36.274,95;94909817380;20.771,50;778320171935
2009-06-08;20.758,66;772817248474;22.108,47;756267595206;19.763,26;998790724905;36.264,08;94253912080;20.771,75;768907358197
2009-06-09;20.768,35;764113826647;22.132,94;744531657934;19.766,02;984026812615;36.275,66;94298643254;20.777,52;761948463662
2009-06-10;20.799,23;756945010929;22.159,94;733067758707;19.786,60;969758606770;36.291,91;93082916541;20.799,69;753600666148
2009-06-11;20.822,15;749367958095;22.183,35;724035002814;19.814,22;959199200584;36.335,20;93087581701;20.817,54;749307291525
2009-06-12;20.850,27;743869036098;22.238,37;719642362746;19.838,89;951772195324;36.387,23;91578750794;20.841,80;743859773562
2009-06-13;20.850,27;743869036098;22.238,37;719642362746;19.838,89;951772195324;36.387,23;91578750794;20.841,80;743859773562
2009-06-14;20.850,27;743869036098;22.238,37;719642362746;19.838,89;951772195324;36.387,23;91578750794;20.841,80;743859773562
2009-06-15;20.908,15;735520412883;22.303,43;712454485447;19.904,59;945187201699;36.468,56;90578355126;20.896,48;737615605353
2009-06-16;20.927,86;728940234036;22.315,54;704998613311;19.920,62;935433235933;36.482,26;90170098797;20.898,04;732021291833
2009-06-17;20.934,91;721558634265;22.384,85;698265996862;19.928,78;922612129159;36.508,69;90337222774;20.919,07;726239341238
2009-06-18;20.956,99;716637529160;22.398,58;689673071598;19.946,27;915997082670;36.515,80;89206259246;20.929,26;721464823050
2009-06-19;20.922,03;710604793736;22.375,87;681854344673;19.922,94;906902336332;36.488,00;89050326374;20.904,28;716633740192
2009-06-20;20.922,03;710604793736;22.375,87;681854344673;19.922,94;906902336332;36.488,00;89050326374;20.904,28;716633740192
2009-06-21;20.922,03;710604793736;22.375,87;681854344673;19.922,94;906902336332;36.488,00;89050326374;20.904,28;716633740192
2009-06-22;20.944,17;708606919125;22.386,04;679042273685;19.935,89;900662222949;36.505,22;89105328076;20.919,11;714057691245
2009-06-23;20.923,00;704229248306;22.382,90;677446801272;19.920,70;895039725119;36.474,79;88163429032;20.912,59;712252815877
2009-06-24;20.908,64;701365352935;22.352,31;673196104957;19.905,50;891091840408;36.460,61;87676815937;20.910,81;710995212131
2009-06-25;20.884,90;699439660023;22.332,85;669910964653;19.884,96;887864509057;36.436,35;87627428875;20.884,32;709316605535
2009-06-26;20.915,40;700907828776;22.338,95;671805244633;19.896,11;893117162852;36.437,07;85171088538;20.891,64;711467062367
2009-06-27;20.915,40;700907828776;22.338,95;671805244633;19.896,11;893117162852;36.437,07;85171088538;20.891,64;711467062367
2009-06-28;20.915,40;700907828776;22.338,95;671805244633;19.896,11;893117162852;36.437,07;85171088538;20.891,64;711467062367
2009-06-29;20.915,40;700907828776;22.338,95;671805244633;19.896,11;893117162852;36.437,07;85171088538;20.891,64;711467062367
2009-06-30;20.906,77;700505813630;22.341,24;673628217843;19.880,58;892471939045;36.414,99;85108888195;20.881,58;712382000743
2009-07-01;20.893,60;694487502660;22.332,44;669411010017;19.875,84;887581890391;36.378,22;83900105137;20.884,64;703739818483
2009-07-02;20.910,73;690777790289;22.350,39;669564524605;19.897,04;886768215392;36.415,80;83964063010;20.908,87;702573396724
2009-07-03;20.958,17;688414577741;22.400,23;668512284523;19.938,80;887006523396;36.486,79;84018731089;20.938,79;702462012216
2009-07-04;20.958,17;688414577741;22.400,23;668512284523;19.938,80;887006523396;36.486,79;84018731089;20.938,79;702462012216
2009-07-05;20.958,17;688414577741;22.400,23;668512284523;19.938,80;887006523396;36.486,79;84018731089;20.938,79;702462012216
2009-07-06;20.964,06;687499309339;22.418,73;666939132609;19.947,98;884778633280;36.498,11;83372812875;20.959,32;701655228312
2009-07-07;20.987,55;686527762476;22.448,24;665206421950;19.964,40;881677426653;36.540,45;83423397410;20.988,25;701116264951
2009-07-08;21.005,78;685373320711;22.453,71;664559132667;19.997,92;881798936313;36.570,93;83336898293;21.016,74;698914029273
2009-07-09;21.014,24;684565540959;22.460,50;662407317294;19.997,46;881177564878;36.578,15;83194835178;21.021,59;696977447153
2009-07-10;21.005,46;682448391434;22.439,67;659129063308;19.978,99;879029074593;36.546,72;82938991297;20.990,70;694930206856
2009-07-11;21.005,46;682448391434;22.439,67;659129063308;19.978,99;879029074593;36.546,72;82938991297;20.990,70;694930206856
2009-07-12;21.005,46;682448391434;22.439,67;659129063308;19.978,99;879029074593;36.546,72;82938991297;20.990,70;694930206856
2009-07-13;21.051,99;683750249522;22.467,67;658736001711;20.023,87;880831390645;36.590,26;82981202763;21.038,05;696065137872
2009-07-14;21.056,34;683863557669;22.490,33;659391860340;20.029,72;881646773853;36.599,20;82689373680;21.040,27;697522813365
2009-07-15;21.086,80;680864389822;22.537,24;657945450397;20.056,67;879364821645;36.638,47;81980967972;21.071,35;694595446773
2009-07-16;21.086,80;680864389822;22.537,24;657945450397;20.056,67;879364821645;36.638,47;81980967972;21.071,35;694595446773
2009-07-17;21.114,23;682194012262;22.555,28;657754863286;20.080,46;882112502468;36.658,72;81989688103;21.081,21;695413560011
