
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-06-27;16.848,63;1554022612384;17.418,27;1072574909014;17.430,83;1478825183732;16.925,15;316264484888;16.786,45;2244450252991
2009-06-28;16.848,63;1554022612384;17.418,27;1072574909014;17.430,83;1478825183732;16.925,15;316264484888;16.786,45;2244450252991
2009-06-29;16.848,63;1554022612384;17.418,27;1072574909014;17.430,83;1478825183732;16.925,15;316264484888;16.786,45;2244450252991
2009-06-30;16.883,01;1569261082652;17.448,90;1083380904944;17.452,68;1492453222739;16.947,43;319005430739;16.817,22;2248787746001
2009-07-01;16.888,99;1568871676875;17.448,88;1082823430106;17.454,95;1493932285825;16.948,03;318677806108;16.823,30;2250411513886
2009-07-02;16.926,23;1569678852461;17.504,16;1086898922369;17.498,21;1497564087630;16.982,98;319296348189;16.865,94;2274919950349
2009-07-03;16.939,48;1569930418764;17.496,14;1086173453715;17.495,06;1496978355300;16.983,56;319032063688;16.862,17;2274086595591
2009-07-04;16.939,48;1569930418764;17.496,14;1086173453715;17.495,06;1496978355300;16.983,56;319032063688;16.862,17;2274086595591
2009-07-05;16.939,48;1569930418764;17.496,14;1086173453715;17.495,06;1496978355300;16.983,56;319032063688;16.862,17;2274086595591
2009-07-06;16.950,67;1570707628055;17.503,09;1086781581951;17.504,62;1498100557675;16.988,44;319090194564;16.875,43;2276018409214
2009-07-07;16.931,14;1568874385500;17.497,70;1084882541012;17.498,85;1496807133687;16.979,91;318725064070;16.870,03;2274146066595
2009-07-08;16.934,14;1569502336556;17.481,77;1083802249047;17.501,30;1496837543676;16.972,94;318631271857;16.867,41;2265513116003
2009-07-09;16.903,31;1566542420582;17.456,36;1082228240027;17.482,76;1495155602950;16.954,57;318230835813;16.849,65;2262951143765
2009-07-10;16.910,46;1567091271033;17.478,28;1083760343109;17.496,67;1491721926267;16.964,17;316766391072;16.852,49;2263497964691
2009-07-11;16.910,46;1567091271033;17.478,28;1083760343109;17.496,67;1491721926267;16.964,17;316766391072;16.852,49;2263497964691
2009-07-12;16.910,46;1567091271033;17.478,28;1083760343109;17.496,67;1491721926267;16.964,17;316766391072;16.852,49;2263497964691
2009-07-13;16.923,37;1563432972532;17.490,82;1082852969215;17.516,03;1493200939958;16.967,45;316841109029;16.868,58;2266075015089
2009-07-14;16.946,35;1566199502432;17.518,78;1085343239453;17.541,55;1496635337093;16.991,48;317473294961;16.894,62;2269515397278
2009-07-15;17.012,05;1572190155957;17.577,87;1089724700970;17.605,41;1502839120625;17.039,12;317961477772;16.948,59;2276096404475
