
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-04-14;19.547,77;977914137847;19.457,67;1532294224961;18.735,86;1427151254892;17.935,46;197173245411;19.560,26;1593155492151;18.706,90;546160232449
2006-04-15;19.547,77;977914137847;19.457,67;1532294224961;18.735,86;1427151254892;17.935,46;197173245411;19.560,26;1593155492151;18.706,90;546160232449
2006-04-16;19.547,77;977914137847;19.457,67;1532294224961;18.735,86;1427151254892;17.935,46;197173245411;19.560,26;1593155492151;18.706,90;546160232449
2006-04-17;19.561,65;994996689038;19.476,52;1538791503904;18.741,66;1442557831552;17.938,35;192396165296;19.565,97;1630606624079;18.719,02;551103961596
2006-04-18;19.591,34;996664639533;19.505,65;1542085999135;18.767,31;1444510920489;17.971,30;200005114483;19.589,82;1633119149705;18.749,93;559860086663
2006-04-19;19.672,49;1004494237648;19.561,59;1547586483773;18.850,51;1451391902453;18.039,65;200769218999;19.672,75;1640049403750;18.821,00;561973489219
2006-04-20;19.882,85;1015811953251;19.789,08;1568067548726;19.048,42;1475785368561;18.231,02;203107226725;19.887,85;1657942729279;19.027,12;568062938659
2006-04-21;20.019,32;1024404285616;19.927,20;1581461928142;19.179,13;1486157492204;18.345,31;204675324803;20.026,33;1671503288949;19.159,38;572125594823
2006-04-22;20.019,32;1024404285616;19.927,20;1581461928142;19.179,13;1486157492204;18.345,31;204675324803;20.026,33;1671503288949;19.159,38;572125594823
2006-04-23;20.019,32;1024404285616;19.927,20;1581461928142;19.179,13;1486157492204;18.345,31;204675324803;20.026,33;1671503288949;19.159,38;572125594823
2006-04-24;20.073,70;1027184669051;19.972,41;1588006155884;19.233,47;1490293806114;18.393,06;205216899104;20.072,07;1675718922447;19.206,52;573794208040
2006-04-25;20.129,72;1030884985070;20.022,14;1594007926679;19.291,79;1495655528868;18.444,38;205783994544;20.121,42;1680713480928;19.273,66;575737944004
2006-04-26;20.110,97;1032938437305;20.011,69;1594020924771;19.270,87;1493944928904;18.423,21;205540638341;20.102,75;1682956655901;19.248,18;575615082644
2006-04-27;20.124,81;1034306378535;20.020,15;1595396344087;19.277,09;1506666899431;18.425,87;205785690865;20.112,93;1685320963886;19.252,42;576697068262
2006-04-28;20.208,29;1040272463978;20.104,51;1601408160136;19.349,05;1509041192022;18.499,36;206744158321;20.194,11;1692164144214;19.339,60;579443751680
2006-04-29;20.208,29;1040272463978;20.104,51;1601408160136;19.349,05;1509041192022;18.499,36;206744158321;20.194,12;1692164144214;19.339,60;579443751680
2006-04-30;20.208,29;1040272463978;20.104,51;1601408160136;19.349,05;1509041192022;18.499,36;206744158321;20.194,12;1692164144214;19.339,60;579443751680
2006-05-01;20.208,29;1040272463978;20.104,51;1601408160136;19.349,05;1509041192022;18.499,36;206744158321;20.194,12;1692164144214;19.339,60;579443751680
2006-05-02;20.125,45;1042051294751;20.038,77;1596354239319;19.274,11;1504529359873;18.442,32;203085805288;20.104,82;1720690342074;19.269,25;576945994334
2006-05-03;20.202,83;1050022395623;20.097,45;1605907985566;19.336,86;1509475223875;18.502,66;207041027184;20.185,27;1727093087100;19.330,69;584620625079
2006-05-04;20.310,37;1055290288417;20.220,39;1619327399355;19.428,35;1527746625986;18.595,82;208601938908;20.294,19;1736768947512;19.442,91;588416485214
2006-05-05;20.344,02;1060684609221;20.246,38;1623048172157;19.473,83;1531279102817;18.635,76;212658872889;20.334,72;1740303627104;19.479,18;589643429717
2006-05-06;20.344,02;1060684609221;20.246,38;1623048172157;19.473,83;1531279102817;18.635,76;212658872889;20.334,72;1740303627104;19.479,18;589643429717
2006-05-07;20.344,02;1060684609221;20.246,38;1623048172157;19.473,83;1531279102817;18.635,76;212658872889;20.334,72;1740303627104;19.479,18;589643429717
2006-05-08;20.409,66;1064129368063;20.310,43;1628918262608;19.539,20;1536750443612;18.696,97;213354166581;20.402,28;1746006959782;19.548,07;591733575245
2006-05-09;20.538,22;1071421831109;20.444,37;1641541348815;19.659,84;1546278942566;18.810,88;214655606218;20.531,90;1757277050729;19.674,10;595726458071
2006-05-10;20.673,52;1080503161858;20.567,60;1653649678091;19.797,92;1557010488622;18.927,43;215993290692;20.673,93;1769148683615;19.818,99;600113427652
2006-05-11;20.657,21;1079958455423;20.564,37;1655122062109;19.780,42;1563589255022;18.914,53;215843370023;20.655,45;1767822756232;19.804,63;599638414711
2006-05-12;20.627,74;1080990149753;20.533,96;1655156988321;19.745,94;1560329361518;18.883,30;215485713192;20.620,68;1765829327712;19.768,86;598532725514
2006-05-13;20.627,74;1080990149753;20.533,96;1655156988321;19.745,94;1560329361518;18.883,30;215485713192;20.620,68;1765829327712;19.768,86;598532725514
2006-05-14;20.627,74;1080990149753;20.533,96;1655156988321;19.745,94;1560329361518;18.883,30;215485713192;20.620,68;1765829327712;19.768,86;598532725514
2006-05-15;20.524,21;1088541562040;20.431,20;1656269654257;19.636,86;1561085469282;18.786,83;209534427453;20.508,78;1792747705099;19.661,85;601536014077
2006-05-16;20.365,16;1083301518704;20.258,48;1645816745874;19.500,90;1550226565670;18.632,00;211215405633;20.356,34;1779695408699;19.488,91;606633704147
2006-05-17;20.013,08;1068705493950;19.925,13;1622060757181;19.154,17;1524735460237;18.325,70;208043939634;19.985,23;1747322204090;19.177,31;596980147691
2006-05-18;19.995,62;1067597402070;19.916,10;1624434249224;19.129,39;1535512549104;18.296,44;207921988864;19.974,33;1746739653676;19.146,49;596113816924
2006-05-19;19.853,99;1064282618321;19.773,89;1615514379224;19.003,31;1526889769379;18.179,41;206580835601;19.847,25;1735526923519;19.008,85;591776703747
2006-05-20;19.853,99;1064282618321;19.773,89;1615514379224;19.003,31;1526889769379;18.179,41;206580835601;19.847,25;1735526923519;19.008,85;591776703747
2006-05-21;19.853,99;1064282618321;19.773,89;1615514379224;19.003,31;1526889769379;18.179,41;206580835601;19.847,25;1735526923519;19.008,85;591776703747
2006-05-22;19.601,34;1050738184933;19.530,86;1598289947723;18.766,10;1507734964881;17.948,41;203964474662;19.587,04;1712721548503;18.780,21;585719397677
2006-05-23;19.547,89;1047963482832;19.488,06;1597769553188;18.711,97;1503285065587;17.900,77;203431263508;19.523,07;1710174934550;18.749,82;584710163659
2006-05-24;19.235,36;1035193005654;19.177,89;1574227696673;18.459,93;1482969142305;17.631,03;200375100419;19.226,10;1685825019998;18.447,38;575315869767
2006-05-25;19.258,23;1037082440817;19.200,30;1576638911732;18.428,20;1481748071444;17.648,74;200628888926;19.239,09;1688287939264;18.469,45;575999549987
2006-05-26;19.148,52;1033125065825;19.104,35;1570685332327;18.338,58;1480954869007;17.555,13;199683068484;19.134,95;1679304932210;18.366,54;572776774144
2006-05-27;19.148,52;1033125065825;19.104,35;1570685332327;18.338,58;1480954869007;17.555,13;199683068484;19.134,95;1679304932210;18.366,54;572776774144
2006-05-28;19.148,52;1033125065825;19.104,35;1570685332327;18.338,58;1480954869007;17.555,13;199683068484;19.134,95;1679304932210;18.366,54;572776774144
2006-05-29;19.205,37;1036209525541;19.158,65;1575791220322;18.394,59;1486293385427;17.621,41;200497215479;19.207,40;1710180590635;18.420,20;575444906508
2006-05-30;19.431,17;1048813674070;19.373,80;1594239573274;18.622,23;1506591168593;17.816,67;202753519928;19.414,43;1728632178440;18.652,67;583045941105
2006-05-31;19.510,28;1051672267166;19.449,68;1599679158780;18.695,03;1510559673777;17.886,29;203556252583;19.500,84;1737721037333;18.728,35;585075982180
2006-06-01;19.301,95;1045969792460;19.236,29;1587620919972;18.492,50;1497798041267;17.683,42;196627800947;19.290,19;1735056088798;18.502,19;577727214945
2006-06-02;19.290,92;1044297981958;19.233,33;1589811266856;18.469,93;1495950073316;17.686,62;201338444579;19.286,33;1734666479636;18.506,54;578018367524
2006-06-03;19.290,92;1044297981958;19.233,33;1589811266856;18.469,93;1495950073316;17.686,62;201338444579;19.286,33;1734666479636;18.506,54;578018367524
2006-06-04;19.290,92;1044297981958;19.233,33;1589811266856;18.469,93;1495950073316;17.686,62;201338444579;19.286,33;1734666479636;18.506,54;578018367524
2006-06-05;19.385,62;1049225220478;19.337,39;1598186412465;18.571,96;1504012554614;17.775,21;202345578452;19.385,75;1743035209100;18.594,88;580794682023
2006-06-06;19.516,63;1056503879963;19.457,82;1608505143418;18.704,25;1514788655000;17.891,06;203671326175;19.521,06;1754724748786;18.729,72;587225595805
2006-06-07;19.418,79;1052210301367;19.359,01;1600851592923;18.608,20;1507194496992;17.792,93;202565204769;19.402,38;1744742205333;18.629,56;584094079492
2006-06-08;19.215,77;1041039117908;19.178,08;1585396359872;18.411,01;1494153086929;17.607,16;200451514086;19.202,88;1726642147261;18.440,75;578256727533
2006-06-09;18.981,62;1028518570314;18.948,76;1566197872354;18.166,91;1474700537814;17.398,80;201269181056;18.957,84;1704407880290;18.220,31;571361009109
2006-06-10;18.981,62;1028518570314;18.948,76;1566197872354;18.166,91;1474700537814;17.398,80;201269181056;18.957,84;1704407880290;18.220,31;571361009109
2006-06-11;18.981,62;1028518570314;18.948,76;1566197872354;18.166,91;1474700537814;17.398,80;201269181056;18.957,84;1704407880290;18.220,31;571361009109
2006-06-12;18.981,62;1028518570314;18.948,76;1566197872354;18.166,91;1474700537814;17.398,80;201269181056;18.957,84;1704407880290;18.220,31;571361009109
2006-06-13;18.750,48;1015984039743;18.721,22;1547885913598;17.959,37;1457373037195;17.197,15;198927048086;18.742,21;1694926065432;17.979,60;563868517086
2006-06-14;18.524,53;1002426935378;18.486,66;1529807687823;17.745,13;1439525326117;17.005,68;196726512719;18.531,91;1675839068239;17.787,07;557585021321
2006-06-15;18.184,01;996489185553;18.157,36;1509249511322;17.417,13;1417083365077;16.695,27;185483338570;18.195,42;1662365180517;17.448,01;557899806675
2006-06-16;18.246,72;999360215262;18.215,39;1515903669590;17.474,37;1422901234532;16.766,00;189981620784;18.260,96;1668317982806;17.511,85;559994959145
2006-06-17;18.246,72;999360215262;18.215,39;1515903669590;17.474,37;1422901234532;16.766,00;189981620784;18.260,96;1668317982806;17.511,85;559994959145
2006-06-18;18.246,72;999360215262;18.215,39;1515903669590;17.474,37;1422901234532;16.766,00;189981620784;18.260,96;1668317982806;17.511,85;559994959145
2006-06-19;18.588,72;1020253136046;18.553,88;1544099602881;17.787,85;1452296536965;17.084,56;193598530283;18.604,22;1699697000537;17.838,46;570432163863
2006-06-20;18.687,59;1025703026957;18.653,87;1552464664835;17.904,14;1461757953060;17.159,82;194933530814;18.702,57;1708738733162;17.938,58;573655696475
2006-06-21;18.657,29;1025330998949;18.619,87;1550007246128;17.863,74;1458298950859;17.131,39;194689446815;18.663,14;1707008231204;17.909,97;572778748199
