
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-05-30;17.232,73;66482586599;17.338,81;153781014693;15.010,42;205844235557;28.580,92;25936521967;16.381,82;228681888862;16.125,96;78942764536
2006-05-31;17.227,72;69826582312;17.331,77;153683892124;15.003,14;205739652265;28.570,37;25928651661;16.377,40;228751023672;16.117,93;78921080318
2006-06-01;17.232,83;69806756073;17.339,09;153694148017;15.005,13;205681026594;28.579,52;25753968402;16.378,95;228470689914;16.119,44;78717201738
2006-06-02;17.237,21;72505798537;17.345,42;152862364140;15.010,67;205586596057;28.591,55;25783127599;16.385,79;228407686977;16.125,65;78746927286
2006-06-03;17.237,21;72505798537;17.345,42;152862364140;15.010,67;205586596057;28.591,55;25783127599;16.385,79;228407686977;16.125,65;78746927286
2006-06-04;17.237,21;72505798537;17.345,42;152862364140;15.010,67;205586596057;28.591,55;25783127599;16.385,79;228407686977;16.125,65;78746927286
2006-06-05;17.254,75;72579580814;17.362,29;153742493692;15.020,95;205739324026;28.618,37;25821225802;16.400,89;228467825936;16.142,16;78727385047
2006-06-06;17.260,25;72602748106;17.378,13;153954568045;15.030,88;205669004155;28.641,56;25418498655;16.409,69;229347409466;16.152,67;78495518390
2006-06-07;17.255,35;73023180479;17.376,27;153860434309;15.031,87;205691740927;28.647,02;25425433120;16.408,81;229192142061;16.147,95;78316561254
2006-06-08;17.257,66;73032058366;17.374,97;154429616846;15.026,21;205495636910;28.649,66;25427755631;16.406,08;229084727295;16.145,52;78244176181
2006-06-09;17.255,76;73293601946;17.372,85;154218448527;15.028,90;205135495795;28.638,19;25087063009;16.405,62;228248326546;16.143,43;78205699650
2006-06-10;17.255,76;73293601946;17.372,85;154218448527;15.028,90;205135495795;28.638,19;25087063009;16.405,62;228248326546;16.143,43;78205699650
2006-06-11;17.255,76;73293601946;17.372,85;154218448527;15.028,90;205135495795;28.638,19;25087063009;16.405,62;228248326546;16.143,43;78205699650
2006-06-12;17.255,76;73293601946;17.372,85;154218448527;15.028,90;205135495795;28.638,19;25087063009;16.405,62;228248326546;16.143,43;78205699650
2006-06-13;17.252,31;73245444614;17.376,08;154431063247;15.032,80;205134395262;28.641,87;25104542948;16.400,45;227193335294;16.139,39;78185072661
2006-06-14;17.259,99;73792935935;17.379,71;154141394240;15.033,77;205243002968;28.648,17;25109990478;16.398,59;227061255073;16.137,59;78176137614
2006-06-15;17.231,71;74218420235;17.338,06;153642981344;14.996,84;205256857494;28.581,98;24886448944;16.365,00;226341461312;16.065,19;77516505444
2006-06-16;17.240,99;75191486960;17.339,21;153845622083;15.007,14;205534652196;28.595,73;24919191355;16.369,77;226358870785;16.117,98;77794518329
2006-06-17;17.240,99;75191486960;17.339,21;153845622083;15.007,14;205534652196;28.595,73;24919191355;16.369,77;226358870785;16.117,98;77794518329
2006-06-18;17.240,99;75191486960;17.339,21;153845622083;15.007,14;205534652196;28.595,73;24919191355;16.369,77;226358870785;16.117,98;77794518329
2006-06-19;17.256,88;75345071675;17.355,25;154267771058;15.020,19;205892632415;28.617,22;24937778063;16.384,24;226580094530;16.131,39;77938665718
2006-06-20;17.261,12;75387271298;17.362,29;154122323929;15.026,07;205988780816;28.630,62;24979294701;16.390,87;226705249839;16.134,98;77992555691
2006-06-21;17.273,74;77045146813;17.373,37;154333140610;15.033,99;206176869475;28.653,70;24959460188;16.403,53;226891045318;16.149,85;78067823453
2006-06-22;17.279,72;77137203860;17.379,75;155013117085;15.033,79;208837347425;28.652,13;24973874800;16.403,55;227130766806;16.151,83;78141183197
2006-06-23;17.277,62;78257188155;17.381,93;156623229566;15.034,68;209018356746;28.655,27;25019382536;16.396,97;227076295808;16.150,55;78140674216
2006-06-24;17.277,62;78257188155;17.381,93;156623229566;15.034,68;209018356746;28.655,27;25019382536;16.396,97;227076295808;16.150,55;78140674216
2006-06-25;17.277,62;78257188155;17.381,93;156623229566;15.034,68;209018356746;28.655,27;25019382536;16.396,97;227076295808;16.150,55;78140674216
2006-06-26;17.277,62;78257188155;17.381,93;156623229566;15.034,68;209018356746;28.655,27;25019382536;16.396,97;227076295808;16.150,55;78140674216
2006-06-27;17.285,51;78272752077;17.394,54;157437448582;15.039,72;209174592428;28.675,04;25038434425;16.403,36;228868347705;16.154,70;78283200485
2006-06-28;17.283,82;79433177159;17.393,16;157430407817;15.040,27;209199487387;28.667,93;25050409773;16.402,90;228942320810;16.150,47;78307142182
