
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-05-14;18.823,22;4792010121430;21.311,43;3809572131716;20.586,36;5375934123694;38.740,92;776497440529;18.829,65;7262278252310
2009-05-15;18.734,07;4774291444276;21.210,61;3801048814380;20.499,78;5360809620402;38.524,98;769929501769;18.728,16;7223302271538
2009-05-16;18.734,07;4774291444276;21.210,61;3801048814380;20.499,78;5360809620402;38.524,98;769929501769;18.728,16;7223302271538
2009-05-17;18.734,07;4774291444276;21.210,61;3801048814380;20.499,78;5360809620402;38.524,98;769929501769;18.728,16;7223302271538
2009-05-18;18.750,31;4783219120683;21.208,32;3803537105847;20.510,21;5370561521283;38.565,74;771808110587;18.740,95;7246913982818
2009-05-19;18.908,07;4824918767078;21.369,83;3834862225290;20.684,45;5419884189845;38.850,62;780002897297;18.891,62;7307849367266
2009-05-20;19.005,56;4851912700423;21.476,88;3856662241350;20.795,18;5450858195803;39.070,78;784356860737;18.992,84;7345444678869
2009-05-21;19.005,56;4851912700423;21.476,88;3856662241350;20.795,18;5450858195803;39.070,78;784356860737;18.992,84;7345444678869
2009-05-22;19.006,30;4853741243226;21.486,60;3860672440315;20.802,21;5454004755784;39.111,68;785506739878;18.994,18;7343860402144
2009-05-23;19.006,30;4853741243226;21.486,60;3860672440315;20.802,21;5454004755784;39.111,68;785506739878;18.994,18;7343860402144
2009-05-24;19.006,30;4853741243226;21.486,60;3860672440315;20.802,21;5454004755784;39.111,68;785506739878;18.994,18;7343860402144
2009-05-25;18.984,01;4850310846323;21.455,80;3856285644987;20.792,42;5453962256806;39.085,40;785082105574;18.973,32;7337685541847
2009-05-26;19.041,94;4865967861481;21.518,95;3868796062837;20.850,48;5473148851624;39.209,65;787845606734;19.030,72;7361633829810
2009-05-27;19.081,25;4876231315225;21.558,64;3877559447346;20.911,66;5493573566200;39.305,69;789790873471;19.076,05;7379962467397
2009-05-28;19.081,29;4876204216895;21.557,45;3878494770327;20.904,76;5493672549633;39.323,60;790292472819;19.079,72;7383870057962
2009-05-29;19.032,33;4863982123278;21.510,68;3869854242073;20.863,07;5482697505118;39.222,22;786503032421;19.015,90;7360109130518
2009-05-30;19.032,33;4863982123278;21.510,68;3869854242073;20.863,07;5482697505118;39.222,22;786503032421;19.015,90;7360109130518
2009-05-31;19.032,33;4863982123278;21.510,68;3869854242073;20.863,07;5482697505118;39.222,22;786503032421;19.015,90;7360109130518
2009-06-01;19.138,32;4893904521231;21.612,71;3890564695003;20.986,62;5517047503265;39.419,71;788106535650;19.128,93;7399236266318
2009-06-02;19.254,53;4927225509800;21.729,25;3912957286171;21.132,83;5558728871498;39.669,79;795637432131;19.256,48;7448372991585
2009-06-03;19.382,21;4959958389152;21.874,79;3940184802042;21.260,22;5593775587873;39.907,19;800406230418;19.364,97;7490473551007
2009-06-04;19.350,51;4952339743687;21.839,42;3936347715995;21.203,18;5579205029978;39.856,39;799366881359;19.342,86;7482866636449
2009-06-05;19.349,57;4953097867790;21.852,30;3940168858722;21.234,29;5589917869736;39.838,97;799040273119;19.344,79;7483020419070
2009-06-06;19.349,57;4953097867790;21.852,30;3940168858722;21.234,29;5589917869736;39.838,97;799040273119;19.344,79;7483020419070
