
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-05-02;11.009,35;69721542318;10.847,39;117842960719;11.063,97;7946456204;10.975,35;6270514759;11.097,87;107107590611;10.820,79;41365318236;11.032,38;67125328886
2003-05-03;11.009,35;69721542318;10.847,39;117842960719;11.063,97;7946456204;10.975,35;6270514759;11.097,87;107107590611;10.820,79;41365318236;11.032,38;67125328886
2003-05-04;11.009,35;69721542318;10.847,39;117842960719;11.063,97;7946456204;10.975,35;6270514759;11.097,87;107107590611;10.820,79;41365318236;11.032,38;67125328886
2003-05-05;11.076,18;70143362852;10.889,08;118293708792;11.124,78;7990016271;11.047,32;6311413941;11.154,21;107650947145;10.882,83;41600665545;11.096,61;67507303997
2003-05-06;11.171,73;70701770024;10.965,82;119118420849;11.194,11;8039811446;11.126,82;6357825191;11.255,09;108622967159;10.970,33;41916906878;11.183,84;68034105329
2003-05-07;11.266,96;71458243079;11.038,26;119905312722;11.255,67;8084298038;11.177,47;6386765042;11.290,48;108963264286;11.026,56;42147716582;11.249,57;69179150725
2003-05-08;11.211,15;71103644011;11.010,06;119598250683;11.220,34;8058774361;11.143,73;6451475893;11.261,36;108676571071;11.005,36;42062945755;11.218,86;68993498738
2003-05-09;11.221,02;71165419969;11.011,80;119660896731;11.212,03;8053053181;11.145,46;6452477709;11.261,52;108672584636;11.011,39;42098647487;11.217,26;68977549016
2003-05-10;11.221,02;71165419969;11.011,80;119660896731;11.212,03;8053053181;11.145,46;6452477709;11.261,52;108672584636;11.011,39;42098647487;11.217,26;68977549016
2003-05-11;11.221,02;71165419969;11.011,80;119660896731;11.212,03;8053053181;11.145,46;6452477709;11.261,52;108672584636;11.011,39;42098647487;11.217,26;68977549016
2003-05-12;11.218,99;71157742666;11.003,04;119556304935;11.221,92;8071619876;11.137,98;6448145944;11.251,81;108577622897;10.995,86;42038998181;11.220,73;69004907897
2003-05-13;11.327,46;71845993971;11.094,98;120568222313;11.288,84;8121756195;11.233,95;6503691469;11.358,16;109601501535;11.088,08;42394940117;11.317,57;69599955351
2003-05-14;11.384,89;72217157296;11.156,27;121233537233;11.338,24;8158121616;11.290,06;6536344279;11.423,04;110335771563;11.151,43;42636080965;11.361,09;72662873526
2003-05-15;11.428,71;72496371149;11.201,11;125968394484;11.401,97;7807824775;11.345,88;6577585164;11.481,08;110894730598;11.200,29;42831039640;11.418,02;73040778383
2003-05-16;11.485,51;72656439995;11.250,39;126074514935;11.459,95;7858811800;11.389,44;6639118193;11.526,82;112001685729;11.239,77;43547879398;11.459,53;73233475493
2003-05-17;11.485,51;72656439995;11.250,39;126074514935;11.459,95;7858811800;11.389,44;6639118193;11.526,82;112001685729;11.239,77;43547879398;11.459,53;73233475493
2003-05-18;11.485,51;72656439995;11.250,39;126074514935;11.459,95;7858811800;11.389,44;6639118193;11.526,82;112001685729;11.239,77;43547879398;11.459,53;73233475493
2003-05-19;11.514,45;72817017752;11.273,68;126329935498;11.502,26;7724294386;11.415,04;6663772234;11.549,20;114065908367;11.256,60;43698752165;11.478,11;73974922683
2003-05-20;11.435,84;72320105845;11.221,62;125745041095;11.440,59;7685779950;11.356,67;6629694424;11.492,66;113505670813;11.190,59;43634324033;11.419,59;73614771722
2003-05-21;11.435,84;72320105845;11.221,62;125745041095;11.440,59;7685779950;11.356,67;6629694424;11.492,66;113505670813;11.190,59;43634324033;11.419,59;73614771722
2003-05-22;11.325,37;75464206090;11.113,54;124702455317;11.343,30;7362751542;11.238,60;6560625165;11.359,89;112523877593;11.078,31;43267514425;11.294,72;72485428357
2003-05-23;11.287,98;75390917251;11.077,60;124294946710;11.332,39;7724990256;11.214,43;6546512471;11.325,41;112178371161;11.051,45;43161872787;11.263,21;72302914230
2003-05-24;11.287,98;75390917251;11.077,60;124294946710;11.332,39;7724990256;11.214,43;6546512471;11.325,41;112178371161;11.051,45;43161872787;11.263,21;72302914230
2003-05-25;11.287,98;75390917251;11.077,60;124294946710;11.332,39;7724990256;11.214,43;6546512471;11.325,41;112178371161;11.051,45;43161872787;11.263,21;72302914230
2003-05-26;11.403,18;76576727138;11.169,19;125324013022;11.410,70;7527812536;11.306,58;6601448863;11.421,34;113081530030;11.142,45;43637911381;11.364,79;73155929202
2003-05-27;11.457,83;76999753730;11.218,61;126250309693;11.438,60;7549224285;11.361,37;6637800825;11.473,20;114072906143;11.193,45;43816268225;11.415,60;73604600522
2003-05-28;11.475,34;77264850777;11.220,58;126280286361;11.454,14;7560652996;11.380,84;6654380375;11.497,69;114315698963;11.204,48;43857422426;11.441,80;74103926802
2003-05-29;11.578,23;78065938187;11.325,93;127496456832;11.543,64;7621984380;11.490,42;6727782483;11.613,13;116422252244;11.310,35;44271844352;11.551,75;74961832666
2003-05-30;11.640,18;78595229035;11.383,23;128445919057;11.588,05;7651881560;11.546,25;6769152265;11.659,49;116886021218;11.371,25;44605805102;11.607,34;75362874238
2003-05-31;11.640,18;78595229035;11.383,23;128445919057;11.588,05;7651881560;11.546,25;6769152265;11.659,49;116886021218;11.371,25;44605805102;11.607,34;75362874238
2003-06-01;11.640,18;78595229035;11.383,23;128445919057;11.588,05;7651881560;11.546,25;6769152265;11.659,49;116886021218;11.371,25;44605805102;11.607,34;75362874238
2003-06-02;11.688,10;78918964223;11.433,51;129012267644;11.619,93;7672721326;11.596,08;6798364949;11.706,20;117353576292;11.401,27;44722632254;11.657,30;75688605815
2003-06-03;11.684,75;78894663994;11.457,58;129285926566;11.625,48;7676432896;11.622,82;6814034982;11.717,36;117464649655;11.434,68;44853119800;11.670,91;76520289541
