fecha,fondo,administradora,valor cuota,valor patrimonio
2020-02-18,A,HABITAT,54970.09,6324371051652.0
2020-02-18,A,MODELO,53370.5,1282961793912.0
2020-02-18,A,PLANVITAL,50166.28,549769489239.0
2020-02-18,A,PROVIDA,53998.27,4483545839031.0
2020-02-18,A,UNO,55340.66,16428395587.0
2020-02-19,A,CAPITAL,51502.67,4354620370398.0
2020-02-19,A,CUPRUM,53957.58,5347174890621.0
2020-02-19,A,HABITAT,54841.67,6317810071123.0
2020-02-19,A,MODELO,53226.96,1280299770110.0
2020-02-19,A,PLANVITAL,50055.14,548723858551.0
2020-02-19,A,PROVIDA,53860.41,4471634240134.0
2020-02-19,A,UNO,55192.75,16428804556.0
2020-02-20,A,CAPITAL,51645.28,4368411310462.0
2020-02-20,A,CUPRUM,54114.72,5363597262334.0
2020-02-20,A,HABITAT,55002.99,6338447517296.0
2020-02-20,A,MODELO,53390.3,1284508332026.0
2020-02-20,A,PLANVITAL,50192.84,550395100487.0
2020-02-20,A,PROVIDA,54015.91,4485710722855.0
2020-02-20,A,UNO,55357.17,16484120071.0
2020-02-21,A,CAPITAL,51813.4,4388568089621.0
2020-02-21,A,CUPRUM,54289.72,5390943620858.0
2020-02-21,A,HABITAT,55206.44,6366703404619.0
2020-02-21,A,MODELO,53548.16,1289598061641.0
2020-02-21,A,PLANVITAL,50359.1,552398800486.0
2020-02-21,A,PROVIDA,54183.82,4501905323011.0
2020-02-21,A,UNO,55501.06,16533589004.0
2020-02-22,A,CAPITAL,51813.4,4388568089621.0
2020-02-22,A,CUPRUM,54289.72,5390943620858.0
2020-02-22,A,HABITAT,55206.44,6366703404619.0
2020-02-22,A,MODELO,53548.16,1289598061641.0
2020-02-22,A,PLANVITAL,50359.1,552398800486.0
2020-02-22,A,PROVIDA,54183.82,4501905323011.0
2020-02-22,A,UNO,55501.06,16533589004.0
2020-02-23,A,CAPITAL,51813.4,4388568089621.0
2020-02-23,A,CUPRUM,54289.72,5390943620858.0
2020-02-23,A,HABITAT,55206.44,6366703404619.0
2020-02-23,A,MODELO,53548.16,1289598061641.0
2020-02-23,A,PLANVITAL,50359.1,552398800486.0
2020-02-23,A,PROVIDA,54183.82,4501905323011.0
2020-02-23,A,UNO,55501.06,16533589004.0
2020-02-24,A,CAPITAL,51823.21,4390934919547.0
